tic_id,pl_name,hostname,pl_orbper,pl_trandur,pl_trandep,pl_tranmid,pl_rade,st_rad,ra,dec,sy_dist,sy_tmag
"TIC 188876052","HAT-P-8 b","HAT-P-8",3.07634000000,3.9016058,0.83000000,2456052.75596000,15.69260000,1.570000,343.0414932,35.4471778,211.55300000,9.7758000
"TIC 443616612","K2-43 b","K2-43",3.47114900000,2.0448000,0.66500000,2456809.88430000,4.51000000,0.542000,169.1170280,-3.9754405,182.53600000,13.7701000
"TIC 422349422","K2-126 b","K2-126",7.38565500000,2.5872000,0.08820000,2457223.79921000,1.97000000,0.650000,203.5467021,-13.5769705,102.95300000,11.6297000
"TIC 268160061","Kepler-1416 b","Kepler-1416",1.49514952000,3.1100000,0.00520000,2454965.66209000,0.88000000,1.150000,298.6634624,43.8940593,949.59000000,13.6973000
"TIC 279915941","Kepler-1542 c","Kepler-1542",2.89223021000,2.6070000,0.00443000,2454965.86465000,0.65000000,0.990000,285.7284757,42.6544651,399.11400000,12.1100000
"TIC 14160842","K2-85 b","K2-85",0.68453862616,0.8184000,0.04000000,2457065.36778000,1.40000000,0.710000,59.4648290,18.4649505,97.21790000,11.2967000
"TIC 414843476","K2-107 b","K2-107",3.31395900000,3.2232000,0.66580000,2457311.15178000,15.98000000,1.810000,284.9853550,-22.2934206,685.20000000,12.2834000
"TIC 242961495","K2-80 c","K2-80",5.60500000000,2.6800000,0.03010000,2457066.48420000,1.47000000,0.870000,59.0374860,13.5590288,200.80200000,11.7617000
"TIC 98720809","K2-229 c","K2-229",8.32727000000,2.5000000,0.05325000,2457586.34310000,2.03000000,0.790000,186.8729195,-6.7218474,102.56400000,10.2496000
"TIC 311035838","HAT-P-3 b","HAT-P-3",2.89970000000,2.0808000,1.20000000,2455694.72623000,10.53646000,0.870000,206.0940142,48.0285650,134.55400000,10.7164000
"TIC 427332229","WASP-32 b","WASP-32",2.71866000000,2.4240000,1.10000000,2456523.97994000,10.76064000,0.950000,3.9617073,1.2005122,275.99400000,11.0210000
"TIC 460396820","WASP-24 b","WASP-24",2.34121000000,2.6832000,1.00000000,2455402.12744000,15.46842000,1.420000,227.2154975,2.3432860,322.11400000,11.0062000
"TIC 121731834","Kepler-65 c","Kepler-65",5.85994400000,3.9280000,0.02820000,2454965.03910000,2.58000000,1.410000,288.6887221,41.1511076,303.72800000,10.5930000
"TIC 399860444","TrES-2 b","TrES-2",2.47063000000,1.7425900,1.60000000,2454955.76336000,15.24424000,1.120000,286.8085258,49.3164211,215.32000000,10.8540000
"TIC 416265126","Kepler-1028 b","Kepler-1028",2.51462432000,1.6093000,0.02284000,2454965.91016000,1.33000000,0.870000,289.5931004,49.7812447,607.91600000,13.8156000
"TIC 198588220","HAT-P-67 b","HAT-P-67",4.81010690000,6.9888000,0.69650000,2459010.99174000,23.98721870,2.620000,256.6107279,44.7768849,371.68600000,9.6333100
"TIC 121214909","Kepler-796 b","Kepler-796",6.40087618000,2.5038000,0.01408000,2454969.88109000,1.30000000,1.090000,287.3078999,39.1447097,817.58400000,12.4083000
"TIC 26583640","Kepler-1117 b","Kepler-1117",4.79028459000,2.7287000,0.01420000,2454967.95434000,1.11000000,0.930000,292.0847866,49.2374206,568.48700000,13.6112000
"TIC 27011135","Kepler-114 b","Kepler-114",5.18854900000,2.4350000,0.03536000,2454978.36320000,1.26000000,0.667000,294.1214820,48.3497977,259.53300000,13.0237000
"TIC 269264648","Kepler-187 b","Kepler-187",4.93886400000,4.2790000,0.01235000,2454968.95186000,1.41000000,1.287000,299.7964955,44.0892448,1143.00000000,13.6749000
"TIC 63206513","Kepler-461 b","Kepler-461",8.31378305900,2.9927000,0.08103000,2455008.99157600,2.58000000,0.910000,292.2490563,46.1647909,692.15800000,12.8947000
"TIC 120571308","Kepler-1601 b","Kepler-1601",2.20921951000,2.7300000,0.00598000,2454964.90843000,0.82000000,1.070000,285.5129496,38.0798390,644.45600000,13.2278000
"TIC 55315929","HD 80653 b","HD 80653",0.71957926000,1.7250000,0.01596404,2458095.56741000,1.62100000,1.199000,140.3390845,14.3678691,109.86000000,8.8909800
"TIC 279915941","Kepler-1542 d","Kepler-1542",5.99273738000,2.5486000,0.00698000,2454964.74864000,0.87000000,0.990000,285.7284757,42.6544651,399.11400000,12.1100000
"TIC 352007758","Kepler-211 c","Kepler-211",6.04045000000,2.0530000,0.02732000,2455005.59435000,1.29000000,0.816000,285.4391183,43.1685051,309.35300000,12.7099000
"TIC 169084431","Kepler-203 c","Kepler-203",5.37064700000,2.0140000,0.05194000,2455005.23697000,2.47000000,1.114000,297.0899590,41.3880686,703.30200000,13.4773000
"TIC 39903405","HAT-P-2 b","HAT-P-2",5.63351580000,4.2888000,0.56510000,2458657.66292000,10.65975900,1.390000,245.1514324,41.0479601,127.77400000,8.2746800
"TIC 436478932","WASP-21 b","WASP-21",4.32248200000,3.3552000,1.08200000,2454743.04190000,11.99000000,1.060000,347.4928024,18.3961597,258.42600000,10.9644000
"TIC 110178537","CoRoT-11 b","CoRoT-11",2.99433000000,2.5009000,1.14490000,2454597.67900000,16.03000000,1.370000,280.6872998,5.9376586,655.03700000,12.4190000
"TIC 392353449","CoRoT-3 b","CoRoT-3",4.25680000000,3.3840000,0.43980000,2454283.13830000,11.32000000,1.560000,292.0552827,0.1218359,768.77100000,12.7127000
"TIC 350814622","Kepler-4 b","Kepler-4",3.21346000000,3.9823500,0.08700000,2454956.61270000,4.00200000,1.487000,285.6154492,50.1357712,487.91600000,11.7266000
"TIC 437248515","WASP-31 b","WASP-31",3.40590960000,2.6472000,1.61500000,2455192.68870000,17.36300000,1.252000,169.4388603,-19.0547781,383.82900000,11.4553000
"TIC 368805700","WASP-37 b","WASP-37",3.57746900000,3.1296000,1.42700000,2455338.61880000,13.00200000,1.003000,221.9438866,1.0650227,392.79100000,12.1159000
"TIC 120571842","Kepler-9 d","Kepler-9",1.59285100000,1.9700000,0.02483000,2455015.09430000,1.64000000,1.020000,285.5739904,38.4008192,628.25700000,13.3273000
"TIC 21339280","K2-269 b","K2-269",4.14496500000,2.7096000,0.00780000,2457141.59855000,1.57000000,1.450000,130.1551381,13.0146799,360.76000000,11.0140000
"TIC 27769737","Kepler-1031 b","Kepler-1031",1.22621732000,2.1486000,0.00561000,2454965.68683000,0.87000000,1.120000,296.0898796,48.9554121,682.88200000,13.4150000
"TIC 13021029","WASP-61 b","WASP-61",3.85590000000,3.9504000,0.88000000,2457128.11889000,15.80469000,1.550000,75.2996637,-26.0541438,488.66000000,11.7231000
"TIC 31858843","WASP-123 b","WASP-123",2.97764359000,3.0936000,1.30220000,2456845.17350000,15.13212395,1.285000,289.4792124,-32.8601244,197.99600000,10.4293000
"TIC 122784501","KOI-984 b","KOI-984",4.28817850000,1.5800000,0.22900000,2454957.78370000,4.30000000,0.818000,291.0489438,36.8400772,252.66700000,11.5170000
